id,year,tilename
170478,1997,724_5636
170479,1997,724_5638
170480,1997,724_5640
170481,1997,724_5642
170482,1997,724_5644
170483,1997,724_5646
170484,1997,724_5648
170485,1997,724_5650
170486,1997,726_5632
170487,1997,726_5634
170488,1997,726_5636
170489,1997,726_5638
170491,1997,726_5642
170492,1997,726_5644
170494,1997,726_5648
170495,1997,726_5650
170497,1997,726_5658
170499,1997,728_5634
170472,1997,722_5646
170490,1997,726_5640
170493,1997,726_5646
170496,1997,726_5652
170498,1997,728_5632
170500,1997,728_5636
170501,1997,728_5638
170502,1997,728_5640
170503,1997,728_5642
170504,1997,728_5644
170505,1997,728_5646
170506,1997,728_5648
170507,1997,728_5650
170508,1997,728_5652
170509,1997,728_5654
170510,1997,728_5658
170511,1997,728_5660
170512,1997,728_5662
170513,1997,728_5664
170514,1997,730_5632
170515,1997,730_5634
170516,1997,730_5636
170517,1997,730_5638
170518,1997,730_5640
170519,1997,730_5642
170520,1997,730_5644
170521,1997,730_5646
170522,1997,730_5648
170523,1997,730_5650
170524,1997,730_5652
170525,1997,730_5654
170526,1997,730_5656
170527,1997,730_5658
170528,1997,730_5660
170529,1997,730_5662
170530,1997,730_5664
170531,1997,732_5634
170532,1997,732_5636
170533,1997,732_5638
170534,1997,732_5640
170535,1997,732_5642
170536,1997,732_5644
170537,1997,732_5646
170538,1997,732_5648
170539,1997,732_5650
170540,1997,732_5652
170541,1997,732_5654
170542,1997,732_5656
170543,1997,732_5658
170544,1997,732_5660
170545,1997,732_5662
170546,1997,732_5664
170547,1997,732_5666
170548,1997,734_5634
170549,1997,734_5636
170550,1997,734_5638
170551,1997,734_5640
170552,1997,734_5642
170553,1997,734_5644
170554,1997,734_5646
170555,1997,734_5648
170556,1997,734_5650
170558,1997,734_5654
170559,1997,734_5656
170560,1997,734_5658
170561,1997,734_5660
170564,1997,734_5666
170565,1997,736_5636
170566,1997,736_5638
170567,1997,736_5640
170568,1997,736_5642
170569,1997,736_5644
170570,1997,736_5646
170571,1997,736_5648
170572,1997,736_5650
170573,1997,736_5652
170574,1997,736_5654
170575,1997,736_5656
170576,1997,736_5658
170577,1997,736_5660
170580,1997,738_5638
170581,1997,738_5640
170582,1997,738_5642
170583,1997,738_5644
